카테고리,DON’T,DO,필드명/맥락,설명/비고,최종 확인 날짜
기간,기간/일자 혼용,기간 또는 일자,"필터/검색 조건","한 화면 내에서는 같은 개념에 하나의 용어만 사용(예: 기간 필터면 '기간'으로만). 구체 케이스별로 추후 정리.",2024-03-22
상차 정보,"상차지 정보, 상차 지역 정보","상차 정보","상차/하차/경유 정보 섹션","서비스팀 논의 기준으로 '상차 정보 / 하차 정보 / 경유 1 정보 / 상차 정보(복귀)'로 통일.",2023-11-07
경유,경유1,경유 1 정보,"경유 정보 카드","'상차 정보'와 같은 형태의 텍스트일 때는 '경유 1 정보' 사용.",2023-08-01
경유,경유지1,경유지 1,"주소형 경유 필드 라벨","'상차지, 하차지'와 같은 맥락에서는 '경유지 1, 경유지 2'로 표기.",2023-08-01
선호 구간,"선호구간, 선호^구간",선호 구간,"차주앱 선호 경로/지역 설정","맞춤법 기준 띄어쓰기 적용.",2023-08-11
상차지,"상차지역, 상차지주소","상차지,"상차 위치 라벨","정산/주문에서 상차 위치를 나타낼 때는 '상차지'로 통일.",2024-03-22
상차일자,"상차 일자, 상차일","상차일자,"정산/주문 필터/컬럼","'일(日)'이 날짜/요일 모두 될 수 있어 모호하므로 '상차일자'로 통일.",2024-03-22
상차 일시,"상차 요청 일시 등 혼용",상차 일시,"시간 포함 상차 시점","시간 정보가 포함되면 '상차 일시'로 표기.",2024-03-22
주소,상세주소,상세 주소,"주소 2라인","띄어쓰기 적용.", 
UX 패턴,오늘 하루 보지 않기,오늘 하루 보지 않기,"모달/배너 숨기기","문구는 유지, 케이스별(일/주)로만 구분.",2023-09-13
UX 패턴,일주일간 보지 않기,일주일간 보지 않기,"모달/배너 숨기기","문구 유지. 기간/옵션에 따라 문장만 교체.",2023-09-13
UX 패턴,주문/리스트,오더,"화주/차주 서비스 문맥","서비스팀 합의: '오더' 용어 사용.",2024-04-02
톤급,"톤급(설명 없음)",톤급,"carTonType 필드","톤 단위 차량 용량. 설명은 별도 용어집(정산 용어)과 연계.", 
차량 옵션,"리프트, 적재함 개방, 뒷문 개방, 좌측 개방, 우측 개방, 무진동, 상승윙, 상온, 냉장, 냉동, 칸막이","동일","차량 옵션 리스트","정렬/우선순위는 24.04.12 회의 기준(화주 기준).",2024-04-12
차종 순서,"윙바디/카고, 카고/윙바디, 트럭 종류 혼용","카고 > 윙바디 > 탑차 > (윙바디/카고/다마스/라보)","차종 선택 컴포넌트","어드민 주문(23년 12월) 기준: 주문 많은 순 정렬. 화주 서비스는 사용성 때문에 기존 순서 유지.",2024-04-12
